comunityName,name,capacityMin,capacityMax,price,folderName,keywords
东方曼哈顿,东方曼哈顿2房,2,4,1199,东方曼哈顿2房,关键字1 关键字2 关键字3
东方曼哈顿,东方曼哈顿3房,3,6,1399,,
陆家嘴中央公寓,陆家嘴中央公寓2房,2,4,1199,,
陆家嘴中央公寓,陆家嘴中央公寓3房,3,6,1399,,
新虹桥国展,新虹桥国展2房,2,4,550,,
新虹桥枢纽,新虹桥枢纽2房,2,4,599,,
